Origem;DESTINO;Curso
INTRAEST - ES - Pancas;RMGV;6
INTRAEST - ES - Pinheiros;RMGV;1
INTRAEST - ES - Presidente Kennedy;RMGV;1
INTRAEST - ES - Santa Leopoldina;RMGV;1
INTRAEST - ES - Santa Teresa;RMGV;5
INTRAEST - ES - Sao Gabriel da Palha;RMGV;4
INTRAEST - ES - Sao Mateus;RMGV;6
INTRAEST - ES - Timoteo;RMGV;1
INTRAEST - ES - Vila Pavao;RMGV;1
desconhecido - MA;RMGV;1
desconhecido - MG;RMGV;4
desconhecido - PI;RMGV;1
desconhecido - PR;RMGV;2
RMGV - Cariacica;RMGV;14
RMGV - Fundao;RMGV;1
RMGV - Serra;RMGV;29
RMGV - Viana;RMGV;6
RMGV - Vila Velha;RMGV;34
RMGV - Vitoria;RMGV;102
